opis_id,name,address,city,state,rack_id,retail_price,latitude,longitude,geocode_quality
60551,CIRCLE K #2744522,"I-30, EXIT 201 I-30 & SR-8",New Boston,TX,766,2.94233333,33.46266,-94.40836,ADDRESS
60768,GAS N GO FOOD STORE,"I-75, EXIT 290/US-41",Cartersville,GA,48,2.94233333,34.24725,-84.77865,POINT
20105,CEFCO #1050,"I-30, EXIT 146 & US-37",Mount Vernon,TX,723,2.94233333,33.16224,-95.21993,ADDRESS
71687,ALLSUPS #2386,I-20 EXIT 216,Colorado City,TX,612,2.94233333,32.41234,-100.85681,ADDRESS
72019,CEFCO #2081,US-84,Post,TX,700,2.94233333,33.18468,-101.37824,STREET
72296,SWIFT STOP #5,US-84 & US-380,Post,TX,700,2.943,33.19458,-101.37828,ADDRESS
72111,FAST STOP,"I-40, Exit 81 & FM-1912",Amarillo,TX,585,2.944,35.2067,-101.65816,POINT
68148,CIRCLE K #2723389,US-49,Gulfport,MS,715,2.944,30.48172,-89.10314,STREET
67727,SPEEDWAY #7907,US-264 & SR-33,Greenville,NC,205,2.944,35.65331,-77.36949,ADDRESS
71344,ALLSUPS CONVENIENCE STORE #2061,US-84 & US-380,Post,TX,700,2.944,33.19458,-101.37828,ADDRESS
73092,QUIKTRIP #4042,I-10,Converse,TX,740,2.94566666,29.47176,-98.27226,STREET
71090,CEFCO #2076,US-60 & SR-207,Panhandle,TX,585,2.94566666,35.33756,-101.3818,INTERSECTION
71127,QUIKTRIP #4044,"I-10, EXIT 609",Seguin,TX,740,2.94566666,29.59883,-97.95922,ADDRESS
71616,ALLSUPS CONVENIENCE STORE #2382,"I-20, EXIT 366 & US-281",Mineral Wells,TX,630,2.94566666,32.8113,-98.11293,ADDRESS
2267,Circle K #4703917,"I-65, EXIT 112 & SR-25",Cross Plains,TN,460,2.949,36.52479,-86.64393,INTERSECTION
71345,ALLSUPS CONVENIENCE STORE #2084,US-377 & CR-234,Brownwood,TX,575,2.949,31.73507,-98.96352,ADDRESS
72786,QUIKTRIP #333,"I-135, EXIT 31",Newton,KS,570,2.949,38.0544,-97.32266,INTERSECTION
65025,ELSIE AUTO AND TRUCK PLAZA,SR-1,Shreveport,LA,766,2.949,32.38745,-93.67868,STREET
68511,PWI #675,I-10/US-85/US-180 EXIT 155 & SR-227,Vado,NM,640,2.949,32.11537,-106.66553,ADDRESS
66250,SPEEDWAY #6973,US-1,Wake Forest,NC,177,2.949,35.9622,-78.54247,STREET
72563,RACEWAY #6991,I-65 Exit 19 & US-43,Creola,AL,715,2.949,30.87697,-88.04512,INTERSECTION
